home,score,away,year
Manchester City ,1–1, Napoli,2011-2012
Villarreal ,0–2, Bayern Munich,2011-2012
Bayern Munich ,2–0, Manchester City,2011-2012
Napoli ,2–0, Villarreal,2011-2012
Napoli ,1–1, Bayern Munich,2011-2012
Manchester City ,2–1, Villarreal,2011-2012
Bayern Munich ,3–2, Napoli,2011-2012
Villarreal ,0–3, Manchester City,2011-2012
Napoli ,2–1, Manchester City,2011-2012
Bayern Munich ,3–1, Villarreal,2011-2012
Manchester City ,2–0, Bayern Munich,2011-2012
Villarreal ,0–2, Napoli,2011-2012
Lille ,2–2, CSKA Moscow,2011-2012
Internazionale ,0–1, Trabzonspor,2011-2012
CSKA Moscow ,2–3, Internazionale,2011-2012
Trabzonspor ,1–1, Lille,2011-2012
CSKA Moscow ,3–0, Trabzonspor,2011-2012
Lille ,0–1, Internazionale,2011-2012
Trabzonspor ,0–0, CSKA Moscow,2011-2012
Internazionale ,2–1, Lille,2011-2012
CSKA Moscow ,0–2, Lille,2011-2012
Trabzonspor ,1–1, Internazionale,2011-2012
Lille ,0–0, Trabzonspor,2011-2012
Internazionale ,1–2, CSKA Moscow,2011-2012
Basel ,2–1, Oțelul Galați,2011-2012
Benfica ,1–1, Manchester United,2011-2012
Manchester United ,3–3, Basel,2011-2012
Oțelul Galați ,0–1, Benfica,2011-2012
Oțelul Galați ,0–2, Manchester United,2011-2012
Basel ,0–2, Benfica,2011-2012
Manchester United ,2–0, Oțelul Galați,2011-2012
Benfica ,1–1, Basel,2011-2012
Oțelul Galați ,2–3, Basel,2011-2012
Manchester United ,2–2, Benfica,2011-2012
Basel ,2–1, Manchester United,2011-2012
Benfica ,1–0, Oțelul Galați,2011-2012
Dinamo Zagreb ,0–1, Real Madrid,2011-2012
Ajax ,0–0, Lyon,2011-2012
Lyon ,2–0, Dinamo Zagreb,2011-2012
Real Madrid ,3–0, Ajax,2011-2012
Real Madrid ,4–0, Lyon,2011-2012
Dinamo Zagreb ,0–2, Ajax,2011-2012
Lyon ,0–2, Real Madrid,2011-2012
Ajax ,4–0, Dinamo Zagreb,2011-2012
Real Madrid ,6–2, Dinamo Zagreb,2011-2012
Lyon ,0–0, Ajax,2011-2012
Dinamo Zagreb ,1–7, Lyon,2011-2012
Ajax ,0–3, Real Madrid,2011-2012
Chelsea ,2–0, Bayer Leverkusen,2011-2012
Genk ,0–0, Valencia,2011-2012
Valencia ,1–1, Chelsea,2011-2012
Bayer Leverkusen ,2–0, Genk,2011-2012
Bayer Leverkusen ,2–1, Valencia,2011-2012
Chelsea ,5–0, Genk,2011-2012
Valencia ,3–1, Bayer Leverkusen,2011-2012
Genk ,1–1, Chelsea,2011-2012
Bayer Leverkusen ,2–1, Chelsea,2011-2012
Valencia ,7–0, Genk,2011-2012
Chelsea ,3–0, Valencia,2011-2012
Genk ,1–1, Bayer Leverkusen,2011-2012
Olympiacos ,0–1, Marseille,2011-2012
Borussia Dortmund ,1–1, Arsenal,2011-2012
Arsenal ,2–1, Olympiacos,2011-2012
Marseille ,3–0, Borussia Dortmund,2011-2012
Marseille ,0–1, Arsenal,2011-2012
Olympiacos ,3–1, Borussia Dortmund,2011-2012
Arsenal ,0–0, Marseille,2011-2012
Borussia Dortmund ,1–0, Olympiacos,2011-2012
Marseille ,0–1, Olympiacos,2011-2012
Arsenal ,2–1, Borussia Dortmund,2011-2012
Olympiacos ,3–1, Arsenal,2011-2012
Borussia Dortmund ,2–3, Marseille,2011-2012
Porto ,2–1, Shakhtar Donetsk,2011-2012
APOEL ,2–1, Zenit Saint Petersburg,2011-2012
Zenit Saint Petersburg ,3–1, Porto,2011-2012
Shakhtar Donetsk ,1–1, APOEL,2011-2012
Shakhtar Donetsk ,2–2, Zenit Saint Petersburg,2011-2012
Porto ,1–1, APOEL,2011-2012
Zenit Saint Petersburg ,1–0, Shakhtar Donetsk,2011-2012
APOEL ,2–1, Porto,2011-2012
Zenit Saint Petersburg ,0–0, APOEL,2011-2012
Shakhtar Donetsk ,0–2, Porto,2011-2012
Porto ,0–0, Zenit Saint Petersburg,2011-2012
APOEL ,0–2, Shakhtar Donetsk,2011-2012
Barcelona ,2–2, Milan,2011-2012
Viktoria Plzeň ,1–1, BATE Borisov,2011-2012
BATE Borisov ,0–5, Barcelona,2011-2012
Milan ,2–0, Viktoria Plzeň,2011-2012
Milan ,2–0, BATE Borisov,2011-2012
Barcelona ,2–0, Viktoria Plzeň,2011-2012
BATE Borisov ,1–1, Milan,2011-2012
Viktoria Plzeň ,0–4, Barcelona,2011-2012
BATE Borisov ,0–1, Viktoria Plzeň,2011-2012
Milan ,2–3, Barcelona,2011-2012
Barcelona ,4–0, BATE Borisov,2011-2012
Viktoria Plzeň ,2–2, Milan,2011-2012
Dinamo Zagreb ,0–2, Porto,2012-2013
Paris Saint-Germain ,4–1, Dynamo Kyiv,2012-2013
Dynamo Kyiv ,2–0, Dinamo Zagreb,2012-2013
Porto ,1–0, Paris Saint-Germain,2012-2013
Porto ,3–2, Dynamo Kyiv,2012-2013
Dinamo Zagreb ,0–2, Paris Saint-Germain,2012-2013
Dynamo Kyiv ,0–0, Porto,2012-2013
Paris Saint-Germain ,4–0, Dinamo Zagreb,2012-2013
Porto ,3–0, Dinamo Zagreb,2012-2013
Dynamo Kyiv ,0–2, Paris Saint-Germain,2012-2013
Dinamo Zagreb ,1–1, Dynamo Kyiv,2012-2013
Paris Saint-Germain ,2–1, Porto,2012-2013
Montpellier ,1–2, Arsenal,2012-2013
Olympiacos ,1–2, Schalke 04,2012-2013
Schalke 04 ,2–2, Montpellier,2012-2013
Arsenal ,3–1, Olympiacos,2012-2013
Arsenal ,0–2, Schalke 04,2012-2013
Montpellier ,1–2, Olympiacos,2012-2013
Schalke 04 ,2–2, Arsenal,2012-2013
Olympiacos ,3–1, Montpellier,2012-2013
Arsenal ,2–0, Montpellier,2012-2013
Schalke 04 ,1–0, Olympiacos,2012-2013
Montpellier ,1–1, Schalke 04,2012-2013
Olympiacos ,2–1, Arsenal,2012-2013
Málaga ,3–0, Zenit Saint Petersburg,2012-2013
Milan ,0–0, Anderlecht,2012-2013
Zenit Saint Petersburg ,2–3, Milan,2012-2013
Anderlecht ,0–3, Málaga,2012-2013
Zenit Saint Petersburg ,1–0, Anderlecht,2012-2013
Málaga ,1–0, Milan,2012-2013
Anderlecht ,1–0, Zenit Saint Petersburg,2012-2013
Milan ,1–1, Málaga,2012-2013
Zenit Saint Petersburg ,2–2, Málaga,2012-2013
Anderlecht ,1–3, Milan,2012-2013
Málaga ,2–2, Anderlecht,2012-2013
Milan ,0–1, Zenit Saint Petersburg,2012-2013
Borussia Dortmund ,1–0, Ajax,2012-2013
Real Madrid ,3–2, Manchester City,2012-2013
Manchester City ,1–1, Borussia Dortmund,2012-2013
Ajax ,1–4, Real Madrid,2012-2013
Ajax ,3–1, Manchester City,2012-2013
Borussia Dortmund ,2–1, Real Madrid,2012-2013
Manchester City ,2–2, Ajax,2012-2013
Real Madrid ,2–2, Borussia Dortmund,2012-2013
Ajax ,1–4, Borussia Dortmund,2012-2013
Manchester City ,1–1, Real Madrid,2012-2013
Borussia Dortmund ,1–0, Manchester City,2012-2013
Real Madrid ,4–1, Ajax,2012-2013
Shakhtar Donetsk ,2–0, FC Nordsjælland,2012-2013
Chelsea ,2–2, Juventus,2012-2013
Juventus ,1–1, Shakhtar Donetsk,2012-2013
FC Nordsjælland ,0–4, Chelsea,2012-2013
FC Nordsjælland ,1–1, Juventus,2012-2013
Shakhtar Donetsk ,2–1, Chelsea,2012-2013
Juventus ,4–0, FC Nordsjælland,2012-2013
Chelsea ,3–2, Shakhtar Donetsk,2012-2013
FC Nordsjælland ,2–5, Shakhtar Donetsk,2012-2013
Juventus ,3–0, Chelsea,2012-2013
Shakhtar Donetsk ,0–1, Juventus,2012-2013
Chelsea ,6–1, FC Nordsjælland,2012-2013
Lille ,1–3, BATE Borisov,2012-2013
Bayern Munich ,2–1, Valencia,2012-2013
Valencia ,2–0, Lille,2012-2013
BATE Borisov ,3–1, Bayern Munich,2012-2013
BATE Borisov ,0–3, Valencia,2012-2013
Lille ,0–1, Bayern Munich,2012-2013
Valencia ,4–2, BATE Borisov,2012-2013
Bayern Munich ,6–1, Lille,2012-2013
BATE Borisov ,0–2, Lille,2012-2013
Valencia ,1–1, Bayern Munich,2012-2013
Lille ,0–1, Valencia,2012-2013
Bayern Munich ,4–1, BATE Borisov,2012-2013
Barcelona ,3–2, Spartak Moscow,2012-2013
Celtic ,0–0, Benfica,2012-2013
Spartak Moscow ,2–3, Celtic,2012-2013
Benfica ,0–2, Barcelona,2012-2013
Spartak Moscow ,2–1, Benfica,2012-2013
Barcelona ,2–1, Celtic,2012-2013
Benfica ,2–0, Spartak Moscow,2012-2013
Celtic ,2–1, Barcelona,2012-2013
Spartak Moscow ,0–3, Barcelona,2012-2013
Benfica ,2–1, Celtic,2012-2013
Barcelona ,0–0, Benfica,2012-2013
Celtic ,2–1, Spartak Moscow,2012-2013
Manchester United ,1–0, Galatasaray,2012-2013
Braga ,0–2, CFR Cluj,2012-2013
CFR Cluj ,1–2, Manchester United,2012-2013
Galatasaray ,0–2, Braga,2012-2013
Galatasaray ,1–1, CFR Cluj,2012-2013
Manchester United ,3–2, Braga,2012-2013
CFR Cluj ,1–3, Galatasaray,2012-2013
Braga ,1–3, Manchester United,2012-2013
Galatasaray ,1–0, Manchester United,2012-2013
CFR Cluj ,3–1, Braga,2012-2013
Manchester United ,0–1, CFR Cluj,2012-2013
Braga ,1–2, Galatasaray,2012-2013
Manchester United ,4–2, Bayer Leverkusen,2013-2014
Real Sociedad ,0–2, Shakhtar Donetsk,2013-2014
Shakhtar Donetsk ,1–1, Manchester United,2013-2014
Bayer Leverkusen ,2–1, Real Sociedad,2013-2014
Bayer Leverkusen ,4–0, Shakhtar Donetsk,2013-2014
Manchester United ,1–0, Real Sociedad,2013-2014
Shakhtar Donetsk ,0–0, Bayer Leverkusen,2013-2014
Real Sociedad ,0–0, Manchester United,2013-2014
Bayer Leverkusen ,0–5, Manchester United,2013-2014
Shakhtar Donetsk ,4–0, Real Sociedad,2013-2014
Manchester United ,1–0, Shakhtar Donetsk,2013-2014
Real Sociedad ,0–1, Bayer Leverkusen,2013-2014
Galatasaray ,1–6, Real Madrid,2013-2014
Copenhagen ,1–1, Juventus,2013-2014
Juventus ,2–2, Galatasaray,2013-2014
Real Madrid ,4–0, Copenhagen,2013-2014
Real Madrid ,2–1, Juventus,2013-2014
Galatasaray ,3–1, Copenhagen,2013-2014
Juventus ,2–2, Real Madrid,2013-2014
Copenhagen ,1–0, Galatasaray,2013-2014
Real Madrid ,4–1, Galatasaray,2013-2014
Juventus ,3–1, Copenhagen,2013-2014
Galatasaray ,1–0, Juventus,2013-2014
Copenhagen ,0–2, Real Madrid,2013-2014
Benfica ,2–0, Anderlecht,2013-2014
Olympiacos ,1–4, Paris Saint-Germain,2013-2014
Paris Saint-Germain ,3–0, Benfica,2013-2014
Anderlecht ,0–3, Olympiacos,2013-2014
Anderlecht ,0–5, Paris Saint-Germain,2013-2014
Benfica ,1–1, Olympiacos,2013-2014
Paris Saint-Germain ,1–1, Anderlecht,2013-2014
Olympiacos ,1–0, Benfica,2013-2014
Anderlecht ,2–3, Benfica,2013-2014
Paris Saint-Germain ,2–1, Olympiacos,2013-2014
Benfica ,2–1, Paris Saint-Germain,2013-2014
Olympiacos ,3–1, Anderlecht,2013-2014
Bayern Munich ,3–0, CSKA Moscow,2013-2014
Viktoria Plzeň ,0–3, Manchester City,2013-2014
CSKA Moscow ,3–2, Viktoria Plzeň,2013-2014
Manchester City ,1–3, Bayern Munich,2013-2014
CSKA Moscow ,1–2, Manchester City,2013-2014
Bayern Munich ,5–0, Viktoria Plzeň,2013-2014
Manchester City ,5–2, CSKA Moscow,2013-2014
Viktoria Plzeň ,0–1, Bayern Munich,2013-2014
CSKA Moscow ,1–3, Bayern Munich,2013-2014
Manchester City ,4–2, Viktoria Plzeň,2013-2014
Bayern Munich ,2–3, Manchester City,2013-2014
Viktoria Plzeň ,2–1, CSKA Moscow,2013-2014
Schalke 04 ,3–0, Steaua București,2013-2014
Chelsea ,1–2, Basel,2013-2014
Basel ,0–1, Schalke 04,2013-2014
Steaua București ,0–4, Chelsea,2013-2014
Steaua București ,1–1, Basel,2013-2014
Schalke 04 ,0–3, Chelsea,2013-2014
Basel ,1–1, Steaua București,2013-2014
Chelsea ,3–0, Schalke 04,2013-2014
Steaua București ,0–0, Schalke 04,2013-2014
Basel ,1–0, Chelsea,2013-2014
Schalke 04 ,2–0, Basel,2013-2014
Chelsea ,1–0, Steaua București,2013-2014
Marseille ,1–2, Arsenal,2013-2014
Napoli ,2–1, Borussia Dortmund,2013-2014
Borussia Dortmund ,3–0, Marseille,2013-2014
Arsenal ,2–0, Napoli,2013-2014
Arsenal ,1–2, Borussia Dortmund,2013-2014
Marseille ,1–2, Napoli,2013-2014
Borussia Dortmund ,0–1, Arsenal,2013-2014
Napoli ,3–2, Marseille,2013-2014
Arsenal ,2–0, Marseille,2013-2014
Borussia Dortmund ,3–1, Napoli,2013-2014
Marseille ,1–2, Borussia Dortmund,2013-2014
Napoli ,2–0, Arsenal,2013-2014
Austria Wien ,0–1, Porto,2013-2014
Atlético Madrid ,3–1, Zenit Saint Petersburg,2013-2014
Zenit Saint Petersburg ,0–0, Austria Wien,2013-2014
Porto ,1–2, Atlético Madrid,2013-2014
Porto ,0–1, Zenit Saint Petersburg,2013-2014
Austria Wien ,0–3, Atlético Madrid,2013-2014
Zenit Saint Petersburg ,1–1, Porto,2013-2014
Atlético Madrid ,4–0, Austria Wien,2013-2014
Zenit Saint Petersburg ,1–1, Atlético Madrid,2013-2014
Porto ,1–1, Austria Wien,2013-2014
Austria Wien ,4–1, Zenit Saint Petersburg,2013-2014
Atlético Madrid ,2–0, Porto,2013-2014
Milan ,2–0, Celtic,2013-2014
Barcelona ,4–0, Ajax,2013-2014
Ajax ,1–1, Milan,2013-2014
Celtic ,0–1, Barcelona,2013-2014
Celtic ,2–1, Ajax,2013-2014
Milan ,1–1, Barcelona,2013-2014
Ajax ,1–0, Celtic,2013-2014
Barcelona ,3–1, Milan,2013-2014
Celtic ,0–3, Milan,2013-2014
Ajax ,2–1, Barcelona,2013-2014
Milan ,0–0, Ajax,2013-2014
Barcelona ,6–1, Celtic,2013-2014
Olympiacos ,3–2, Atlético Madrid,2014-2015
Juventus ,2–0, Malmö FF,2014-2015
Malmö FF ,2–0, Olympiacos,2014-2015
Atlético Madrid ,1–0, Juventus,2014-2015
Atlético Madrid ,5–0, Malmö FF,2014-2015
Olympiacos ,1–0, Juventus,2014-2015
Malmö FF ,0–2, Atlético Madrid,2014-2015
Juventus ,3–2, Olympiacos,2014-2015
Atlético Madrid ,4–0, Olympiacos,2014-2015
Malmö FF ,0–2, Juventus,2014-2015
Olympiacos ,4–2, Malmö FF,2014-2015
Juventus ,0–0, Atlético Madrid,2014-2015
Liverpool ,2–1, Ludogorets Razgrad,2014-2015
Real Madrid ,5–1, Basel,2014-2015
Basel ,1–0, Liverpool,2014-2015
Ludogorets Razgrad ,1–2, Real Madrid,2014-2015
Ludogorets Razgrad ,1–0, Basel,2014-2015
Liverpool ,0–3, Real Madrid,2014-2015
Basel ,4–0, Ludogorets Razgrad,2014-2015
Real Madrid ,1–0, Liverpool,2014-2015
Ludogorets Razgrad ,2–2, Liverpool,2014-2015
Basel ,0–1, Real Madrid,2014-2015
Liverpool ,1–1, Basel,2014-2015
Real Madrid ,4–0, Ludogorets Razgrad,2014-2015
Monaco ,1–0, Bayer Leverkusen,2014-2015
Benfica ,0–2, Zenit Saint Petersburg,2014-2015
Zenit Saint Petersburg ,0–0, Monaco,2014-2015
Bayer Leverkusen ,3–1, Benfica,2014-2015
Bayer Leverkusen ,2–0, Zenit Saint Petersburg,2014-2015
Monaco ,0–0, Benfica,2014-2015
Zenit Saint Petersburg ,1–2, Bayer Leverkusen,2014-2015
Benfica ,1–0, Monaco,2014-2015
Zenit Saint Petersburg ,1–0, Benfica,2014-2015
Bayer Leverkusen ,0–1, Monaco,2014-2015
Monaco ,2–0, Zenit Saint Petersburg,2014-2015
Benfica ,0–0, Bayer Leverkusen,2014-2015
Galatasaray ,1–1, Anderlecht,2014-2015
Borussia Dortmund ,2–0, Arsenal,2014-2015
Arsenal ,4–1, Galatasaray,2014-2015
Anderlecht ,0–3, Borussia Dortmund,2014-2015
Anderlecht ,1–2, Arsenal,2014-2015
Galatasaray ,0–4, Borussia Dortmund,2014-2015
Arsenal ,3–3, Anderlecht,2014-2015
Borussia Dortmund ,4–1, Galatasaray,2014-2015
Anderlecht ,2–0, Galatasaray,2014-2015
Arsenal ,2–0, Borussia Dortmund,2014-2015
Galatasaray ,1–4, Arsenal,2014-2015
Borussia Dortmund ,1–1, Anderlecht,2014-2015
Roma ,5–1, CSKA Moscow,2014-2015
Bayern Munich ,1–0, Manchester City,2014-2015
CSKA Moscow ,0–1, Bayern Munich,2014-2015
Manchester City ,1–1, Roma,2014-2015
CSKA Moscow ,2–2, Manchester City,2014-2015
Roma ,1–7, Bayern Munich,2014-2015
Manchester City ,1–2, CSKA Moscow,2014-2015
Bayern Munich ,2–0, Roma,2014-2015
CSKA Moscow ,1–1, Roma,2014-2015
Manchester City ,3–2, Bayern Munich,2014-2015
Roma ,0–2, Manchester City,2014-2015
Bayern Munich ,3–0, CSKA Moscow,2014-2015
Barcelona ,1–0, APOEL,2014-2015
Ajax ,1–1, Paris Saint-Germain,2014-2015
Paris Saint-Germain ,3–2, Barcelona,2014-2015
APOEL ,1–1, Ajax,2014-2015
APOEL ,0–1, Paris Saint-Germain,2014-2015
Barcelona ,3–1, Ajax,2014-2015
Paris Saint-Germain ,1–0, APOEL,2014-2015
Ajax ,0–2, Barcelona,2014-2015
APOEL ,0–4, Barcelona,2014-2015
Paris Saint-Germain ,3–1, Ajax,2014-2015
Barcelona ,3–1, Paris Saint-Germain,2014-2015
Ajax ,4–0, APOEL,2014-2015
Chelsea ,1–1, Schalke 04,2014-2015
Maribor ,1–1, Sporting CP,2014-2015
Sporting CP ,0–1, Chelsea,2014-2015
Schalke 04 ,1–1, Maribor,2014-2015
Schalke 04 ,4–3, Sporting CP,2014-2015
Chelsea ,6–0, Maribor,2014-2015
Sporting CP ,4–2, Schalke 04,2014-2015
Maribor ,1–1, Chelsea,2014-2015
Schalke 04 ,0–5, Chelsea,2014-2015
Sporting CP ,3–1, Maribor,2014-2015
Chelsea ,3–1, Sporting CP,2014-2015
Maribor ,0–1, Schalke 04,2014-2015
Porto ,6–0, BATE Borisov,2014-2015
Athletic Bilbao ,0–0, Shakhtar Donetsk,2014-2015
Shakhtar Donetsk ,2–2, Porto,2014-2015
BATE Borisov ,2–1, Athletic Bilbao,2014-2015
BATE Borisov ,0–7, Shakhtar Donetsk,2014-2015
Porto ,2–1, Athletic Bilbao,2014-2015
Shakhtar Donetsk ,5–0, BATE Borisov,2014-2015
Athletic Bilbao ,0–2, Porto,2014-2015
BATE Borisov ,0–3, Porto,2014-2015
Shakhtar Donetsk ,0–1, Athletic Bilbao,2014-2015
Porto ,1–1, Shakhtar Donetsk,2014-2015
Athletic Bilbao ,2–0, BATE Borisov,2014-2015
Paris Saint-Germain ,2–0, Malmö FF,2015-2016
Real Madrid ,4–0, Shakhtar Donetsk,2015-2016
Shakhtar Donetsk ,0–3, Paris Saint-Germain,2015-2016
Malmö FF ,0–2, Real Madrid,2015-2016
Malmö FF ,1–0, Shakhtar Donetsk,2015-2016
Paris Saint-Germain ,0–0, Real Madrid,2015-2016
Shakhtar Donetsk ,4–0, Malmö FF,2015-2016
Real Madrid ,1–0, Paris Saint-Germain,2015-2016
Malmö FF ,0–5, Paris Saint-Germain,2015-2016
Shakhtar Donetsk ,3–4, Real Madrid,2015-2016
Paris Saint-Germain ,2–0, Shakhtar Donetsk,2015-2016
Real Madrid ,8–0, Malmö FF,2015-2016
VfL Wolfsburg ,1–0, CSKA Moscow,2015-2016
PSV Eindhoven ,2–1, Manchester United,2015-2016
Manchester United ,2–1, VfL Wolfsburg,2015-2016
CSKA Moscow ,3–2, PSV Eindhoven,2015-2016
CSKA Moscow ,1–1, Manchester United,2015-2016
VfL Wolfsburg ,2–0, PSV Eindhoven,2015-2016
Manchester United ,1–0, CSKA Moscow,2015-2016
PSV Eindhoven ,2–0, VfL Wolfsburg,2015-2016
CSKA Moscow ,0–2, VfL Wolfsburg,2015-2016
Manchester United ,0–0, PSV Eindhoven,2015-2016
VfL Wolfsburg ,3–2, Manchester United,2015-2016
PSV Eindhoven ,2–1, CSKA Moscow,2015-2016
Galatasaray ,0–2, Atlético Madrid,2015-2016
Benfica ,2–0, Astana,2015-2016
Astana ,2–2, Galatasaray,2015-2016
Atlético Madrid ,1–2, Benfica,2015-2016
Atlético Madrid ,4–0, Astana,2015-2016
Galatasaray ,2–1, Benfica,2015-2016
Astana ,0–0, Atlético Madrid,2015-2016
Benfica ,2–1, Galatasaray,2015-2016
Astana ,2–2, Benfica,2015-2016
Atlético Madrid ,2–0, Galatasaray,2015-2016
Galatasaray ,1–1, Astana,2015-2016
