home,score,away,year
Inter Milan ,2–0, Borussia Dortmund,2019-2020
Barcelona ,0–0, Slavia Prague,2019-2020
Borussia Dortmund ,3–2, Inter Milan,2019-2020
Slavia Prague ,1–3, Inter Milan,2019-2020
Barcelona ,3–1, Borussia Dortmund,2019-2020
Inter Milan ,1–2, Barcelona,2019-2020
Borussia Dortmund ,2–1, Slavia Prague,2019-2020
Lyon ,1–1, Zenit Saint Petersburg,2019-2020
Benfica ,1–2, RB Leipzig,2019-2020
Zenit Saint Petersburg ,3–1, Benfica,2019-2020
RB Leipzig ,0–2, Lyon,2019-2020
RB Leipzig ,2–1, Zenit Saint Petersburg,2019-2020
Benfica ,2–1, Lyon,2019-2020
Zenit Saint Petersburg ,0–2, RB Leipzig,2019-2020
Lyon ,3–1, Benfica,2019-2020
Zenit Saint Petersburg ,2–0, Lyon,2019-2020
RB Leipzig ,2–2, Benfica,2019-2020
Benfica ,3–0, Zenit Saint Petersburg,2019-2020
Lyon ,2–2, RB Leipzig,2019-2020
Ajax ,3–0, Lille,2019-2020
Chelsea ,0–1, Valencia,2019-2020
Valencia ,0–3, Ajax,2019-2020
Lille ,1–2, Chelsea,2019-2020
Ajax ,0–1, Chelsea,2019-2020
Lille ,1–1, Valencia,2019-2020
Valencia ,4–1, Lille,2019-2020
Chelsea ,4–4, Ajax,2019-2020
Valencia ,2–2, Chelsea,2019-2020
Lille ,0–2, Ajax,2019-2020
Ajax ,0–1, Valencia,2019-2020
Chelsea ,2–1, Lille,2019-2020
Red Bull Salzburg ,2–2, Lokomotiv Moscow,2020-2021
Bayern Munich ,4–0, Atlético Madrid,2020-2021
Lokomotiv Moscow ,1–2, Bayern Munich,2020-2021
Atlético Madrid ,3–2, Red Bull Salzburg,2020-2021
Lokomotiv Moscow ,1–1, Atlético Madrid,2020-2021
Red Bull Salzburg ,2–6, Bayern Munich,2020-2021
Atlético Madrid ,0–0, Lokomotiv Moscow,2020-2021
Bayern Munich ,3–1, Red Bull Salzburg,2020-2021
Lokomotiv Moscow ,1–3, Red Bull Salzburg,2020-2021
Atlético Madrid ,1–1, Bayern Munich,2020-2021
Bayern Munich ,2–0, Lokomotiv Moscow,2020-2021
Red Bull Salzburg ,0–2, Atlético Madrid,2020-2021
Real Madrid ,2–3, Shakhtar Donetsk,2020-2021
Inter Milan ,2–2, Borussia Mönchengladbach,2020-2021
Shakhtar Donetsk ,0–0, Inter Milan,2020-2021
Borussia Mönchengladbach ,2–2, Real Madrid,2020-2021
Shakhtar Donetsk ,0–6, Borussia Mönchengladbach,2020-2021
Real Madrid ,3–2, Inter Milan,2020-2021
Borussia Mönchengladbach ,4–0, Shakhtar Donetsk,2020-2021
Inter Milan ,0–2, Real Madrid,2020-2021
Shakhtar Donetsk ,2–0, Real Madrid,2020-2021
Borussia Mönchengladbach ,2–3, Inter Milan,2020-2021
Real Madrid ,2–0, Borussia Mönchengladbach,2020-2021
Inter Milan ,0–0, Shakhtar Donetsk,2020-2021
Manchester City ,3–1, Porto,2020-2021
Olympiacos ,1–0, Marseille,2020-2021
Porto ,2–0, Olympiacos,2020-2021
Marseille ,0–3, Manchester City,2020-2021
Manchester City ,3–0, Olympiacos,2020-2021
Porto ,3–0, Marseille,2020-2021
Olympiacos ,0–1, Manchester City,2020-2021
Marseille ,0–2, Porto,2020-2021
Marseille ,2–1, Olympiacos,2020-2021
Porto ,0–0, Manchester City,2020-2021
Manchester City ,3–0, Marseille,2020-2021
Olympiacos ,0–2, Porto,2020-2021
Ajax ,0–1, Liverpool,2020-2021
Midtjylland ,0–4, Atalanta,2020-2021
Liverpool ,2–0, Midtjylland,2020-2021
Atalanta ,2–2, Ajax,2020-2021
Midtjylland ,1–2, Ajax,2020-2021
Atalanta ,0–5, Liverpool,2020-2021
Liverpool ,0–2, Atalanta,2020-2021
Ajax ,3–1, Midtjylland,2020-2021
Liverpool ,1–0, Ajax,2020-2021
Atalanta ,1–1, Midtjylland,2020-2021
Ajax ,0–1, Atalanta,2020-2021
Midtjylland ,1–1, Liverpool,2020-2021
Chelsea ,0–0, Sevilla,2020-2021
Rennes ,1–1, Krasnodar,2020-2021
Krasnodar ,0–4, Chelsea,2020-2021
Sevilla ,1–0, Rennes,2020-2021
Sevilla ,3–2, Krasnodar,2020-2021
Chelsea ,3–0, Rennes,2020-2021
Krasnodar ,1–2, Sevilla,2020-2021
Rennes ,1–2, Chelsea,2020-2021
Krasnodar ,1–0, Rennes,2020-2021
Sevilla ,0–4, Chelsea,2020-2021
Chelsea ,1–1, Krasnodar,2020-2021
Rennes ,1–3, Sevilla,2020-2021
Zenit Saint Petersburg ,1–2, Club Brugge,2020-2021
Lazio ,3–1, Borussia Dortmund,2020-2021
Borussia Dortmund ,2–0, Zenit Saint Petersburg,2020-2021
Club Brugge ,1–1, Lazio,2020-2021
Zenit Saint Petersburg ,1–1, Lazio,2020-2021
Club Brugge ,0–3, Borussia Dortmund,2020-2021
Lazio ,3–1, Zenit Saint Petersburg,2020-2021
Borussia Dortmund ,3–0, Club Brugge,2020-2021
Borussia Dortmund ,1–1, Lazio,2020-2021
Club Brugge ,3–0, Zenit Saint Petersburg,2020-2021
Zenit Saint Petersburg ,1–2, Borussia Dortmund,2020-2021
Lazio ,2–2, Club Brugge,2020-2021
Dynamo Kyiv ,0–2, Juventus,2020-2021
Barcelona ,5–1, Ferencváros,2020-2021
Juventus ,0–2, Barcelona,2020-2021
Ferencváros ,2–2, Dynamo Kyiv,2020-2021
Barcelona ,2–1, Dynamo Kyiv,2020-2021
Ferencváros ,1–4, Juventus,2020-2021
Dynamo Kyiv ,0–4, Barcelona,2020-2021
Juventus ,2–1, Ferencváros,2020-2021
Juventus ,3–0, Dynamo Kyiv,2020-2021
Ferencváros ,0–3, Barcelona,2020-2021
Barcelona ,0–3, Juventus,2020-2021
Dynamo Kyiv ,1–0, Ferencváros,2020-2021
Paris Saint-Germain ,1–2, Manchester United,2020-2021
RB Leipzig ,2–0, İstanbul Başakşehir,2020-2021
İstanbul Başakşehir ,0–2, Paris Saint-Germain,2020-2021
Manchester United ,5–0, RB Leipzig,2020-2021
İstanbul Başakşehir ,2–1, Manchester United,2020-2021
RB Leipzig ,2–1, Paris Saint-Germain,2020-2021
Manchester United ,4–1, İstanbul Başakşehir,2020-2021
Paris Saint-Germain ,1–0, RB Leipzig,2020-2021
İstanbul Başakşehir ,3–4, RB Leipzig,2020-2021
Manchester United ,1–3, Paris Saint-Germain,2020-2021
Paris Saint-Germain ,5–1, İstanbul Başakşehir,2020-2021
RB Leipzig ,3–2, Manchester United,2020-2021
Manchester City ,6–3, RB Leipzig,2021-2022
Club Brugge ,1–1, Paris Saint-Germain,2021-2022
RB Leipzig ,1–2, Club Brugge,2021-2022
Paris Saint-Germain ,2–0, Manchester City,2021-2022
Club Brugge ,1–5, Manchester City,2021-2022
Paris Saint-Germain ,3–2, RB Leipzig,2021-2022
RB Leipzig ,2–2, Paris Saint-Germain,2021-2022
Manchester City ,4–1, Club Brugge,2021-2022
Manchester City ,2–1, Paris Saint-Germain,2021-2022
Club Brugge ,0–5, RB Leipzig,2021-2022
RB Leipzig ,2–1, Manchester City,2021-2022
Paris Saint-Germain ,4–1, Club Brugge,2021-2022
Liverpool ,3–2, Milan,2021-2022
Atlético Madrid ,0–0, Porto,2021-2022
Milan ,1–2, Atlético Madrid,2021-2022
Porto ,1–5, Liverpool,2021-2022
Atlético Madrid ,2–3, Liverpool,2021-2022
Porto ,1–0, Milan,2021-2022
Milan ,1–1, Porto,2021-2022
Liverpool ,2–0, Atlético Madrid,2021-2022
Liverpool ,2–0, Porto,2021-2022
Atlético Madrid ,0–1, Milan,2021-2022
Porto ,1–3, Atlético Madrid,2021-2022
Milan ,1–2, Liverpool,2021-2022
Beşiktaş ,1–2, Borussia Dortmund,2021-2022
Sporting CP ,1–5, Ajax,2021-2022
Ajax ,2–0, Beşiktaş,2021-2022
Borussia Dortmund ,1–0, Sporting CP,2021-2022
Beşiktaş ,1–4, Sporting CP,2021-2022
Ajax ,4–0, Borussia Dortmund,2021-2022
Borussia Dortmund ,1–3, Ajax,2021-2022
Sporting CP ,4–0, Beşiktaş,2021-2022
Beşiktaş ,1–2, Ajax,2021-2022
Sporting CP ,3–1, Borussia Dortmund,2021-2022
Ajax ,4–2, Sporting CP,2021-2022
Borussia Dortmund ,5–0, Beşiktaş,2021-2022
Sheriff Tiraspol ,2–0, Shakhtar Donetsk,2021-2022
Inter Milan ,0–1, Real Madrid,2021-2022
Shakhtar Donetsk ,0–0, Inter Milan,2021-2022
Real Madrid ,1–2, Sheriff Tiraspol,2021-2022
Shakhtar Donetsk ,0–5, Real Madrid,2021-2022
Inter Milan ,3–1, Sheriff Tiraspol,2021-2022
Real Madrid ,2–1, Shakhtar Donetsk,2021-2022
Sheriff Tiraspol ,1–3, Inter Milan,2021-2022
Inter Milan ,2–0, Shakhtar Donetsk,2021-2022
Sheriff Tiraspol ,0–3, Real Madrid,2021-2022
Shakhtar Donetsk ,1–1, Sheriff Tiraspol,2021-2022
Real Madrid ,2–0, Inter Milan,2021-2022
Barcelona ,0–3, Bayern Munich,2021-2022
Dynamo Kyiv ,0–0, Benfica,2021-2022
Benfica ,3–0, Barcelona,2021-2022
Bayern Munich ,5–0, Dynamo Kyiv,2021-2022
Barcelona ,1–0, Dynamo Kyiv,2021-2022
Benfica ,0–4, Bayern Munich,2021-2022
Bayern Munich ,5–2, Benfica,2021-2022
Dynamo Kyiv ,0–1, Barcelona,2021-2022
Dynamo Kyiv ,1–2, Bayern Munich,2021-2022
Barcelona ,0–0, Benfica,2021-2022
Bayern Munich ,3–0, Barcelona,2021-2022
Benfica ,2–0, Dynamo Kyiv,2021-2022
Young Boys ,2–1, Manchester United,2021-2022
Villarreal ,2–2, Atalanta,2021-2022
Atalanta ,1–0, Young Boys,2021-2022
Manchester United ,2–1, Villarreal,2021-2022
Manchester United ,3–2, Atalanta,2021-2022
Young Boys ,1–4, Villarreal,2021-2022
Atalanta ,2–2, Manchester United,2021-2022
Villarreal ,2–0, Young Boys,2021-2022
Villarreal ,0–2, Manchester United,2021-2022
Young Boys ,3–3, Atalanta,2021-2022
Manchester United ,1–1, Young Boys,2021-2022
Atalanta ,2–3, Villarreal,2021-2022
Sevilla ,1–1, Red Bull Salzburg,2021-2022
Lille ,0–0, VfL Wolfsburg,2021-2022
Red Bull Salzburg ,2–1, Lille,2021-2022
VfL Wolfsburg ,1–1, Sevilla,2021-2022
Red Bull Salzburg ,3–1, VfL Wolfsburg,2021-2022
Lille ,0–0, Sevilla,2021-2022
VfL Wolfsburg ,2–1, Red Bull Salzburg,2021-2022
Sevilla ,1–2, Lille,2021-2022
Sevilla ,2–0, VfL Wolfsburg,2021-2022
Lille ,1–0, Red Bull Salzburg,2021-2022
VfL Wolfsburg ,1–3, Lille,2021-2022
Red Bull Salzburg ,1–0, Sevilla,2021-2022
Chelsea ,1–0, Zenit Saint Petersburg,2021-2022
Malmö FF ,0–3, Juventus,2021-2022
Zenit Saint Petersburg ,4–0, Malmö FF,2021-2022
Juventus ,1–0, Chelsea,2021-2022
Zenit Saint Petersburg ,0–1, Juventus,2021-2022
Chelsea ,4–0, Malmö FF,2021-2022
Malmö FF ,0–1, Chelsea,2021-2022
Juventus ,4–2, Zenit Saint Petersburg,2021-2022
Chelsea ,4–0, Juventus,2021-2022
Malmö FF ,1–1, Zenit Saint Petersburg,2021-2022
Zenit Saint Petersburg ,3–3, Chelsea,2021-2022
Juventus ,1–0, Malmö FF,2021-2022
"Ajax
",4–0, Rangers,2022-2023
Napoli ,4–1, Liverpool,2022-2023
Liverpool ,2–1, Ajax,2022-2023
Rangers ,0–3, Napoli,2022-2023
Liverpool ,2–0, Rangers,2022-2023
Ajax ,1–6, Napoli,2022-2023
Napoli ,4–2, Ajax,2022-2023
Rangers ,1–7, Liverpool,2022-2023
Napoli ,3–0, Rangers,2022-2023
Ajax ,0–3, Liverpool,2022-2023
Liverpool ,2–0, Napoli,2022-2023
Rangers ,1–3, Ajax,2022-2023
Atlético Madrid ,2–1, Porto,2022-2023
Club Brugge ,1–0, Bayer Leverkusen,2022-2023
Porto ,0–4, Club Brugge,2022-2023
Bayer Leverkusen ,2–0, Atlético Madrid,2022-2023
Porto ,2–0, Bayer Leverkusen,2022-2023
Club Brugge ,2–0, Atlético Madrid,2022-2023
Atlético Madrid ,0–0, Club Brugge,2022-2023
Bayer Leverkusen ,0–3, Porto,2022-2023
Club Brugge ,0–4, Porto,2022-2023
Atlético Madrid ,2–2, Bayer Leverkusen,2022-2023
Porto ,2–1, Atlético Madrid,2022-2023
Bayer Leverkusen ,0–0, Club Brugge,2022-2023
Barcelona ,5–1, Viktoria Plzeň,2022-2023
Inter Milan ,0–2, Bayern Munich,2022-2023
Viktoria Plzeň ,0–2, Inter Milan,2022-2023
Bayern Munich ,2–0, Barcelona,2022-2023
Bayern Munich ,5–0, Viktoria Plzeň,2022-2023
Inter Milan ,1–0, Barcelona,2022-2023
Barcelona ,3–3, Inter Milan,2022-2023
Viktoria Plzeň ,2–4, Bayern Munich,2022-2023
Inter Milan ,4–0, Viktoria Plzeň,2022-2023
Barcelona ,0–3, Bayern Munich,2022-2023
Bayern Munich ,2–0, Inter Milan,2022-2023
Viktoria Plzeň ,2–4, Barcelona,2022-2023
Eintracht Frankfurt ,0–3, Sporting CP,2022-2023
Tottenham Hotspur ,2–0, Marseille,2022-2023
Sporting CP ,2–0, Tottenham Hotspur,2022-2023
Marseille ,0–1, Eintracht Frankfurt,2022-2023
Marseille ,4–1, Sporting CP,2022-2023
Eintracht Frankfurt ,0–0, Tottenham Hotspur,2022-2023
Tottenham Hotspur ,3–2, Eintracht Frankfurt,2022-2023
Sporting CP ,0–2, Marseille,2022-2023
Tottenham Hotspur ,1–1, Sporting CP,2022-2023
Eintracht Frankfurt ,2–1, Marseille,2022-2023
Sporting CP ,1–2, Eintracht Frankfurt,2022-2023
Marseille ,1–2, Tottenham Hotspur,2022-2023
Dinamo Zagreb ,1–0, Chelsea,2022-2023
Red Bull Salzburg ,1–1, Milan,2022-2023
Milan ,3–1, Dinamo Zagreb,2022-2023
Chelsea ,1–1, Red Bull Salzburg,2022-2023
Red Bull Salzburg ,1–0, Dinamo Zagreb,2022-2023
Chelsea ,3–0, Milan,2022-2023
Dinamo Zagreb ,1–1, Red Bull Salzburg,2022-2023
Milan ,0–2, Chelsea,2022-2023
Red Bull Salzburg ,1–2, Chelsea,2022-2023
Dinamo Zagreb ,0–4, Milan,2022-2023
Chelsea ,2–1, Dinamo Zagreb,2022-2023
Milan ,4–0, Red Bull Salzburg,2022-2023
Celtic ,0–3, Real Madrid,2022-2023
RB Leipzig ,1–4, Shakhtar Donetsk,2022-2023
Shakhtar Donetsk ,1–1, Celtic,2022-2023
Real Madrid ,2–0, RB Leipzig,2022-2023
RB Leipzig ,3–1, Celtic,2022-2023
Real Madrid ,2–1, Shakhtar Donetsk,2022-2023
Shakhtar Donetsk ,1–1, Real Madrid,2022-2023
Celtic ,0–2, RB Leipzig,2022-2023
Celtic ,1–1, Shakhtar Donetsk,2022-2023
RB Leipzig ,3–2, Real Madrid,2022-2023
Real Madrid ,5–1, Celtic,2022-2023
Shakhtar Donetsk ,0–4, RB Leipzig,2022-2023
Borussia Dortmund ,3–0, Copenhagen,2022-2023
Sevilla ,0–4, Manchester City,2022-2023
Manchester City ,2–1, Borussia Dortmund,2022-2023
Copenhagen ,0–0, Sevilla,2022-2023
Manchester City ,5–0, Copenhagen,2022-2023
Sevilla ,1–4, Borussia Dortmund,2022-2023
Copenhagen ,0–0, Manchester City,2022-2023
Borussia Dortmund ,1–1, Sevilla,2022-2023
Sevilla ,3–0, Copenhagen,2022-2023
Borussia Dortmund ,0–0, Manchester City,2022-2023
Manchester City ,3–1, Sevilla,2022-2023
Copenhagen ,1–1, Borussia Dortmund,2022-2023
Paris Saint-Germain ,2–1, Juventus,2022-2023
Benfica ,2–0, Maccabi Haifa,2022-2023
Juventus ,1–2, Benfica,2022-2023
Maccabi Haifa ,1–3, Paris Saint-Germain,2022-2023
Juventus ,3–1, Maccabi Haifa,2022-2023
Benfica ,1–1, Paris Saint-Germain,2022-2023
Maccabi Haifa ,2–0, Juventus,2022-2023
Paris Saint-Germain ,1–1, Benfica,2022-2023
Paris Saint-Germain ,7–2, Maccabi Haifa,2022-2023
Benfica ,4–3, Juventus,2022-2023
Juventus ,1–2, Paris Saint-Germain,2022-2023
Maccabi Haifa ,1–6, Benfica,2022-2023
Galatasaray ,2–2, Copenhagen,2023-2024
Bayern Munich ,4–3, Manchester United,2023-2024
Manchester United ,2–3, Galatasaray,2023-2024
Copenhagen ,1–2, Bayern Munich,2023-2024
Galatasaray ,1–3, Bayern Munich,2023-2024
Manchester United ,1–0, Copenhagen,2023-2024
Bayern Munich ,2–1, Galatasaray,2023-2024
Copenhagen ,4–3, Manchester United,2023-2024
Galatasaray ,3–3, Manchester United,2023-2024
Bayern Munich ,0–0, Copenhagen,2023-2024
Manchester United ,0–1, Bayern Munich,2023-2024
Copenhagen ,1–0, Galatasaray,2023-2024
Sevilla ,1–1, Lens,2023-2024
Arsenal ,4–0, PSV Eindhoven,2023-2024
Lens ,2–1, Arsenal,2023-2024
PSV Eindhoven ,2–2, Sevilla,2023-2024
Sevilla ,1–2, Arsenal,2023-2024
Lens ,1–1, PSV Eindhoven,2023-2024
Arsenal ,2–0, Sevilla,2023-2024
PSV Eindhoven ,1–0, Lens,2023-2024
Sevilla ,2–3, PSV Eindhoven,2023-2024
Arsenal ,6–0, Lens,2023-2024
Lens ,2–1, Sevilla,2023-2024
PSV Eindhoven ,1–1, Arsenal,2023-2024
Real Madrid ,1–0, Union Berlin,2023-2024
Braga ,1–2, Napoli,2023-2024
Union Berlin ,2–3, Braga,2023-2024
Napoli ,2–3, Real Madrid,2023-2024
Braga ,1–2, Real Madrid,2023-2024
Union Berlin ,0–1, Napoli,2023-2024
Napoli ,1–1, Union Berlin,2023-2024
Real Madrid ,3–0, Braga,2023-2024
Real Madrid ,4–2, Napoli,2023-2024
Braga ,1–1, Union Berlin,2023-2024
Napoli ,2–0, Braga,2023-2024
Union Berlin ,2–3, Real Madrid,2023-2024
Real Sociedad ,1–1, Inter Milan,2023-2024
Benfica ,0–2, Red Bull Salzburg,2023-2024
Red Bull Salzburg ,0–2, Real Sociedad,2023-2024
Inter Milan ,1–0, Benfica,2023-2024
Inter Milan ,2–1, Red Bull Salzburg,2023-2024
Benfica ,0–1, Real Sociedad,2023-2024
Real Sociedad ,3–1, Benfica,2023-2024
Red Bull Salzburg ,0–1, Inter Milan,2023-2024
Benfica ,3–3, Inter Milan,2023-2024
Real Sociedad ,0–0, Red Bull Salzburg,2023-2024
Inter Milan ,0–0, Real Sociedad,2023-2024
Red Bull Salzburg ,1–3, Benfica,2023-2024
Feyenoord ,2–0, Celtic,2023-2024
Lazio ,1–1, Atlético Madrid,2023-2024
Atlético Madrid ,3–2, Feyenoord,2023-2024
Celtic ,1–2, Lazio,2023-2024
Feyenoord ,3–1, Lazio,2023-2024
Celtic ,2–2, Atlético Madrid,2023-2024
Atlético Madrid ,6–0, Celtic,2023-2024
Lazio ,1–0, Feyenoord,2023-2024
Lazio ,2–0, Celtic,2023-2024
Feyenoord ,1–3, Atlético Madrid,2023-2024
Atlético Madrid ,2–0, Lazio,2023-2024
Celtic ,2–1, Feyenoord,2023-2024
Milan ,0–0, Newcastle United,2023-2024
Paris Saint-Germain ,2–0, Borussia Dortmund,2023-2024
Borussia Dortmund ,0–0, Milan,2023-2024
Newcastle United ,4–1, Paris Saint-Germain,2023-2024
Paris Saint-Germain ,3–0, Milan,2023-2024
Newcastle United ,0–1, Borussia Dortmund,2023-2024
Borussia Dortmund ,2–0, Newcastle United,2023-2024
Milan ,2–1, Paris Saint-Germain,2023-2024
Paris Saint-Germain ,1–1, Newcastle United,2023-2024
Milan ,1–3, Borussia Dortmund,2023-2024
Borussia Dortmund ,1–1, Paris Saint-Germain,2023-2024
Newcastle United ,1–2, Milan,2023-2024
Young Boys ,1–3, RB Leipzig,2023-2024
Manchester City ,3–1, Red Star Belgrade,2023-2024
RB Leipzig ,1–3, Manchester City,2023-2024
Red Star Belgrade ,2–2, Young Boys,2023-2024
RB Leipzig ,3–1, Red Star Belgrade,2023-2024
Young Boys ,1–3, Manchester City,2023-2024
Manchester City ,3–0, Young Boys,2023-2024
Red Star Belgrade ,1–2, RB Leipzig,2023-2024
Manchester City ,3–2, RB Leipzig,2023-2024
Young Boys ,2–0, Red Star Belgrade,2023-2024
RB Leipzig ,2–1, Young Boys,2023-2024
Red Star Belgrade ,2–3, Manchester City,2023-2024
Barcelona ,5–0, Antwerp,2023-2024
Shakhtar Donetsk ,1–3, Porto,2023-2024
Antwerp ,2–3, Shakhtar Donetsk,2023-2024
Porto ,0–1, Barcelona,2023-2024
Barcelona ,2–1, Shakhtar Donetsk,2023-2024
Antwerp ,1–4, Porto,2023-2024
Shakhtar Donetsk ,1–0, Barcelona,2023-2024
Porto ,2–0, Antwerp,2023-2024
Shakhtar Donetsk ,1–0, Antwerp,2023-2024
Barcelona ,2–1, Porto,2023-2024
Porto ,5–3, Shakhtar Donetsk,2023-2024
Antwerp ,3–2, Barcelona,2023-2024
